"Code","Symbol","Name","英文名称","注册地址","A股代码","A股简称","A股上市日期","A股总股本","A股流通股本","B股代码","B股 简 称","B股上市日期","B股总股本","B股流通股本","地 区","省 份","城 市","所属行业","公司网址"
000863.SZ,"和光商务","深圳和光现代商务股份有限公司","SHENZHEN DAWNCOM BUSINESS TECHNOLOGY AND SERVICE CO.,LTD","广东省深圳市福田区滨河路北5022号联合广场B座703室",863,"*ST 商务",09/25/97,174620264,78000004,,,,0,0,"华南","广东","深圳市","G 信息技术","www.000863.com"
000868.SZ,"安凯客车","安徽安凯汽车股份有限公司","ANHUI ANKAI AUTOMOBILE CO.,LTD","安徽省合肥市葛淝路1号",868,"安凯客车",07/25/97,307010000,267150000,,,,0,0,"华东","安徽","合肥市","C7 机械设备","www.ankai.com"
000869.SZ,"张裕","烟台张裕葡萄酿酒股份有限公司","YANTAI CHANGYU PIONEER WINE CO.,LTD","山东省烟台市大马路56号",869,"张 裕Ａ",10/26/00,348816000,135794880,200869,"张 裕Ｂ",09/23/97,178464000,178464000,"华东","山东","烟台市","C0 食品饮料","www.changyu.com.cn"
000875.SZ,"吉电股份","吉林电力股份有限公司","JILIN POWER SHARE CO.LTD","吉林省长春市工农大路3088号",875,"吉电股份",09/26/02,839100000,660018365,,,,0,0,"东北","吉林","长春市","D 水电煤气",
000876.SZ,"新希望","四川新希望农业股份有限公司","SICHUAN NEW HOPE AGRIBUSINESS CO.,LTD","四川省绵阳国家高新技术产业开发区",876,"新 希 望",03/11/98,832371540,814884266,,,,0,0,"西南","四川","绵阳市","C0 食品饮料","www.newhopegroup.com"
000877.SZ,"天山股份","新疆天山水泥股份有限公司","XINJIANG TIANSHAN CEMENT CO.,LTD","新疆维吾尔自治区乌鲁木齐市水泥厂街242号",877,"天山股份",01/07/99,388945144,308720705,,,,0,0,"西北","新疆","乌鲁木齐市","C6 金属非金属","www.tianshan.cn"
000878.SZ,"云南铜业","云南铜业股份有限公司","YUNNAN COPPER INDUSTRY CO.LTD","云南省昆明市国家高新技术产业开发区",878,"云南铜业",06/02/98,1256688800,1256674723,,,,0,0,"西南","云南","昆明市","C6 金属非金属","www.yunnan-copper.com"
000880.SZ,"潍柴重机","潍柴重机股份有限公司","Weichai Heavy Machinery Co., Ltd.","山东省潍坊市长松路69号",880,"潍柴重机",04/02/98,276100500,135135000,,,,0,0,"华东","山东","潍坊市","C7 机械设备","www.weichaihm.com"
000881.SZ,"大连国际","中国大连国际合作(集团)股份有限公司","CHINA DALIAN INTERNATIONAL COOPERATION (GROUP) HOLDINGS LTD.","辽宁省大连市西岗区黄河路219号",881,"大连国际",09/02/98,308918400,304873068,,,,0,0,"东北","辽宁","大连市","M 综合类","www.china-cdig.com"
000882.SZ,"华联股份","北京华联商厦股份有限公司","BEIJING HUALIAN DEPARTMENT STORE CO.,LTD","北京市通州区永乐经济技术开发区永开路1号",882,"华联股份",06/16/98,493850501,249192811,,,,0,0,"华北","北京","北京市","H 批发零售","www.beijing-hualian.com"
